"model","enzyme","Rsquared","AIC","BIC"
"Johnson-Lewin","STH001",0.959542671072981,-33.1516970791917,-32.1655741925106
"Johnson-Lewin","GLU002",0.999892831802837,-21.2632529377689,-22.3044555916286
"Johnson-Lewin","XYL001",0.987991546016153,-6.52131992449494,-5.53519703781384
"Johnson-Lewin","XYL002",0.988009189788555,-9.16644260444281,-7.65351713947258
"Johnson-Lewin","ARA001",0.989175194611677,3.02741978792453,2.7569705332011
"Johnson-Lewin","LIP001",0.988012001694888,-15.1741132326746,-14.7769055242754
"Johnson-Lewin","GAL002",0.966741825770198,-4.46077641572158,-6.41358685355107
"Johnson-Lewin","LAR001",0.999855412632654,-34.0267118449132,-35.9795222827427
"Johnson-Lewin","AMA002",0.913246108306948,-4.43087391912225,-4.70132317384568
"Johnson-Lewin","TSK001",0.9091638011998,9.56129456122722,9.9585022696264
"Johnson-Lewin","GRX001",0.960786921110605,-0.324657280931721,2.50008950637596
"Johnson-Lewin","PRX001",0.943923104132425,6.25553626878796,9.08028305609565
"Johnson-Lewin","RNR001",0.951701408270492,-0.162252713905598,1.82722365008626
"Johnson-Lewin","HMT001",0.969243927017177,-0.152063012664884,0.834059874016214
"Johnson-Lewin","NTR001",0.96726128377999,-19.5080584576281,-16.6833116703204
"extended_Johnson-Lewin","ARL001",-10.2316826978804,54.9498921102999,53.7004489256683
"extended_Johnson-Lewin","YEX001",0.449942884184419,12.9674601543615,13.4441094044405
"extended_Johnson-Lewin","LIC001",-0.123617692712254,20.5480002557516,21.0246495058306
"extended_Johnson-Lewin","LID001",0.981600827235281,-1.17780167110461,-0.701152421025601
"extended_Johnson-Lewin","MAC001",0.913957357070272,21.9507805083236,23.1341279723409
"extended_Johnson-Lewin","LIN001",0.90798617011491,14.0312795026249,12.7818363179932
"extended_Johnson-Lewin","IPD001",0.997256758731615,-3.9614977585813,-5.21094094321296
"extended_Johnson-Lewin","GAP001",0.668889404709716,20.8153084947099,20.4907693890418
"extended_Johnson-Lewin","GUS001",0.983067247063055,17.9244288938568,19.7399394518211
"extended_Johnson-Lewin","RUB001",0.964394241857882,-1.86942919717265,-3.11887238180432
"extended_Johnson-Lewin","GDH001",0.918161262047331,19.4209672315784,23.6692684381917
"extended_Johnson-Lewin","MAI001",0.954630374529771,10.2615735626652,11.4449210266825
"extended_Johnson-Lewin","GGT001",0.914817891046824,-0.517611234257338,-1.76705441888901
"extended_Johnson-Lewin","ASN001",0.988737892613939,2.61438222570061,0.271009700305207
"extended_Johnson-Lewin","GLU002",-1.81900345566997,41.8017138197102,40.5522706350785
"extended_Johnson-Lewin","ARA001",0.989175194611677,5.02741978792457,4.70288068225645
"extended_Johnson-Lewin","LAR001",0.999855412632654,-32.0267118449059,-34.3700843703013
"extended_Johnson-Lewin","RNR001",0.073021747581694,34.3375520039336,36.7249236407238
"extended_Johnson-Lewin","HMT001",-0.0174939558950367,33.3390315504933,34.5223790145106
"simplified_Johnson_Lewin","ADH001",0.971930690141402,-9.90011257591228,-8.91398968923118
"simplified_Johnson_Lewin","HSD001",0.984419146864488,-11.7601510578064,-12.8013537116661
"simplified_Johnson_Lewin","GTP001",0.99282286701147,-13.0020050351357,-12.6047973267365
"simplified_Johnson_Lewin","MGT001",0.954371937395676,-16.8754264782892,-15.8893035916081
