"model","enzyme","Rsquared","AIC","BIC"
"Johnson-Lewin","452.99",0.991774929706644,-23.9186692515878,-22.4057437866176
"Johnson-Lewin","453.99",0.987074466768844,-28.9725013263247,-27.4595758613544
"extended_Johnson-Lewin","MTD2251",NA,Inf,Inf
"extended_Johnson-Lewin","MTD2262",-331.853785672851,88.5510417192337,89.734389183251
"extended_Johnson-Lewin","MTD2263",0.961968166325878,16.4878823797429,17.6712298437602
"extended_Johnson-Lewin","MTD2283",0.924714142979197,28.2717414136538,30.0872519716181
"extended_Johnson-Lewin","MUM0001",0.181682547245782,15.292753793477,16.4761012574943
"extended_Johnson-Lewin","GVT6",-639.884755052763,37.511391312913,33.8291574796324
"extended_Johnson-Lewin","TV298",-617.54705385672,37.3212133671008,33.6389795338202
"extended_Johnson-Lewin","206",-64.4243064647623,68.9401076732621,68.615568567594
"extended_Johnson-Lewin","V51",-88.426031394663,60.989205069036,59.7397618844044
"extended_Johnson-Lewin","ARSEF3458",-306.977740127346,39.0015590226744,35.3193251893937
"extended_Johnson-Lewin","ARSEF4491",-527.009798147718,45.2395196347202,41.5572858014395
"extended_Johnson-Lewin","ARSEF4461",-321.964605218673,41.3828774795,37.7006436462194
"extended_Johnson-Lewin","Z4",-393.986516309475,41.3378323644664,37.6555985311858
"extended_Johnson-Lewin","Z11",-580.832889702416,45.1812689458557,41.499035112575
"extended_Johnson-Lewin","T229",-575.402460272461,37.8429153115816,34.160681478301
"extended_Johnson-Lewin","T314",-750.521144777822,48.1314713628784,44.4492375295978
"extended_Johnson-Lewin","Z43",-774.15371358663,50.1229727899246,46.4407389566439
"extended_Johnson-Lewin","Z143",-690.617995037544,47.9472715539345,44.2650377206538
"extended_Johnson-Lewin","T130",-1030.29261452718,55.2674116161686,51.585177782888
"extended_Johnson-Lewin","ARSEF2859",-143.119463605122,34.8226092607318,31.1403754274511
"extended_Johnson-Lewin","Z25",-296.147137859758,38.5406695200813,34.8584356868006
"extended_Johnson-Lewin","Z26",-426.958108699897,39.6215871115234,35.9393532782427
"extended_Johnson-Lewin","TT5",-242.318887814074,36.9968814116606,33.3146475783799
"extended_Johnson-Lewin","T80",-432.775478458799,40.1320125240722,36.4497786907915
"extended_Johnson-Lewin","HRI1.72",-400.593181409115,40.7597484852938,37.0775146520131
"extended_Johnson-Lewin","Mycotech GHA",-765.998080534093,47.0211425805387,43.3389087472581
"extended_Johnson-Lewin","ARSEF2879",-338.083449354172,40.6616762008834,36.9794423676027
"extended_Johnson-Lewin","Z135",-199.10323266159,38.5189753951004,34.8367415618198
"extended_Johnson-Lewin","T195",-652.130911415586,45.4730786427616,41.7908448094809
"extended_Johnson-Lewin","Z139",-0.758519389040261,18.1659549210757,14.483721087795
"extended_Johnson-Lewin","IMI322663",NA,Inf,Inf
"extended_Johnson-Lewin","",0.351922829732721,157.449554320723,167.730986720949
"extended_Johnson-Lewin","CC359B",-186.330389335407,42.4810793470383,40.1377068216429
"extended_Johnson-Lewin","UMB310.06 ",0.88211790866068,3.43659731540561,1.09322479001021
"extended_Johnson-Lewin","34.79",0.0120571147954324,32.4336965464594,34.2492071044236
"extended_Johnson-Lewin","51.81",-55.2855181825313,80.1870164779592,82.0025270359235
"extended_Johnson-Lewin","71.82",0.730667713010804,15.3938977373493,17.2094082953136
"extended_Johnson-Lewin","74.82",0.0213917815940056,36.7251103060446,38.5406208640088
"extended_Johnson-Lewin","77.82",0.156666866792711,22.8580093951485,24.6735199531128
"extended_Johnson-Lewin","17.76",0.971292655688667,17.5276841811268,19.343194739091
"extended_Johnson-Lewin","450.99",-6.0624558969132,65.1683074979809,66.9838180559452
"simplified_Johnson_Lewin","MTD2245",NA,Inf,Inf
"simplified_Johnson_Lewin","MTD2251",NA,Inf,Inf
